Property Code,2022 Indoor Comp price,2023 Indoor Comp price,Total Units (2022Jul) (Indoor Parking),Occupied (2022Jul) (Indoor Parking),Percentage% (2022Jul) (Indoor Parking),New Lease (2022Jul) (Indoor Parking),Ending Lease (2022Jul) (Indoor Parking),Market Price (2022Jul) (Indoor Parking),Current Price (2022Jul) (Indoor Parking),Lease_Turnover_Rate% (2022Jul) (Indoor Parking),Ending_Lease_Rate% (2022Jul) (Indoor Parking),Total Units (2022Aug) (Indoor Parking),Occupied (2022Aug) (Indoor Parking),Percentage% (2022Aug) (Indoor Parking),New Lease (2022Aug) (Indoor Parking),Ending Lease (2022Aug) (Indoor Parking),Market Price (2022Aug) (Indoor Parking),Current Price (2022Aug) (Indoor Parking),Lease_Turnover_Rate% (2022Aug) (Indoor Parking),Ending_Lease_Rate% (2022Aug) (Indoor Parking),Total Units (2022Sep) (Indoor Parking),Occupied (2022Sep) (Indoor Parking),Percentage% (2022Sep) (Indoor Parking),New Lease (2022Sep) (Indoor Parking),Ending Lease (2022Sep) (Indoor Parking),Market Price (2022Sep) (Indoor Parking),Current Price (2022Sep) (Indoor Parking),Lease_Turnover_Rate% (2022Sep) (Indoor Parking),Ending_Lease_Rate% (2022Sep) (Indoor Parking),Total Units (2022Oct) (Indoor Parking),Occupied (2022Oct) (Indoor Parking),Percentage% (2022Oct) (Indoor Parking),New Lease (2022Oct) (Indoor Parking),Ending Lease (2022Oct) (Indoor Parking),Market Price (2022Oct) (Indoor Parking),Current Price (2022Oct) (Indoor Parking),Lease_Turnover_Rate% (2022Oct) (Indoor Parking),Ending_Lease_Rate% (2022Oct) (Indoor Parking),Total Units (2022Dec) (Indoor Parking),Occupied (2022Dec) (Indoor Parking),Percentage% (2022Dec) (Indoor Parking),New Lease (2022Dec) (Indoor Parking),Ending Lease (2022Dec) (Indoor Parking),Market Price (2022Dec) (Indoor Parking),Current Price (2022Dec) (Indoor Parking),Lease_Turnover_Rate% (2022Dec) (Indoor Parking),Ending_Lease_Rate% (2022Dec) (Indoor Parking),Total Units (2023Apr) (Indoor Parking),Occupied (2023Apr) (Indoor Parking),Percentage% (2023Apr) (Indoor Parking),New Lease (2023Apr) (Indoor Parking),Ending Lease (2023Apr) (Indoor Parking),Market Price (2023Apr) (Indoor Parking),Current Price (2023Apr) (Indoor Parking),Lease_Turnover_Rate% (2023Apr) (Indoor Parking),Ending_Lease_Rate% (2023Apr) (Indoor Parking),Total Units (2023May) (Indoor Parking),Occupied (2023May) (Indoor Parking),Percentage% (2023May) (Indoor Parking),New Lease (2023May) (Indoor Parking),Ending Lease (2023May) (Indoor Parking),Market Price (2023May) (Indoor Parking),Current Price (2023May) (Indoor Parking),Lease_Turnover_Rate% (2023May) (Indoor Parking),Ending_Lease_Rate% (2023May) (Indoor Parking)
y53590,85.0,0.0,153.0,144.0,94.12,1.0,4.0,120.0,102.44022900763363,2.61,78.43,153.0,140.0,91.5,0.0,18.0,120.0,104.36695312499998,11.76,78.43,153.0,137.0,89.54,0.0,21.0,140.0,104.85656249999998,13.73,91.5,153.0,139.0,90.85,5.0,28.0,140.0,105.54641221374045,18.3,91.5,153.0,141.0,92.16,6.0,22.0,140.0,105.27126865671642,14.38,91.5,153.0,141.0,92.16,0.0,21.0,140.0,106.32683823529409,13.73,91.5,153.0,139.0,90.85,0.0,23.0,140.0,106.77447761194027,15.03,91.5
y53600,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y53620,125.0,106.66666666666669,93.0,82.0,88.17,8.0,18.0,120.0,38.480632911392405,19.35,129.03,93.0,81.0,87.1,0.0,65.0,120.0,39.01858974358974,69.89,129.03,93.0,80.0,86.02,0.0,66.0,120.0,39.08153846153846,70.97,129.03,93.0,81.0,87.1,3.0,66.0,120.0,39.12833333333333,70.97,129.03,93.0,82.0,88.17,0.0,62.0,120.0,41.3959493670886,66.67,129.03,93.0,82.0,88.17,0.0,63.0,120.0,41.70075949367087,67.74,129.03,93.0,79.0,84.95,1.0,62.0,120.0,43.4828947368421,66.67,129.03
y53630,85.0,87.5,462.0,271.0,58.66,25.0,54.0,100.0,79.57263940520457,11.69,21.65,462.0,268.0,58.01,4.0,209.0,100.0,79.70330827067677,45.24,21.65,462.0,258.0,55.84,2.0,212.0,100.0,79.36960937500004,45.89,21.65,462.0,264.0,57.14,24.0,208.0,100.0,80.00248091603058,45.02,21.65,462.0,262.0,56.71,20.0,208.0,100.0,80.08077220077223,45.02,21.65,462.0,266.0,57.58,1.0,201.0,100.0,80.76724137931043,43.51,21.65,462.0,267.0,57.79,21.0,205.0,100.0,81.64094339622652,44.37,21.65
y53640,126.5,160.0,235.0,127.0,54.04,10.0,5.0,135.0,129.60946969696977,2.13,57.45,235.0,136.0,57.87,1.0,109.0,135.0,130.79658536585373,46.38,57.45,235.0,136.0,57.87,1.0,109.0,135.0,130.89666666666676,46.38,57.45,235.0,136.0,57.87,3.0,109.0,135.0,131.07579365079374,46.38,57.45,235.0,140.0,59.57,1.0,109.0,135.0,131.59976923076928,46.38,57.45,235.0,141.0,60.0,2.0,113.0,135.0,132.83692307692309,48.09,57.45,240.0,142.0,59.17,7.0,113.0,135.0,133.1805303030303,47.08,56.25
y53650,0.0,65.0,287.0,221.0,77.0,21.0,46.0,110.0,92.67975728155338,16.03,38.33,287.0,225.0,78.4,6.0,75.0,115.0,93.18205741626788,26.13,40.07,287.0,222.0,77.35,0.0,80.0,115.0,94.19421800947862,27.87,40.07,287.0,224.0,78.05,31.0,78.0,115.0,94.72136150234738,27.18,40.07,287.0,223.0,77.7,18.0,75.0,115.0,95.33728571428564,26.13,40.07,287.0,223.0,77.7,0.0,80.0,115.0,96.65193396226412,27.87,40.07,287.0,221.0,77.0,19.0,77.0,115.0,97.30367924528298,26.83,40.07
y53660,78.33333333333333,0.0,190.0,119.0,62.63,2.0,0.0,85.0,79.70152542372887,0.0,44.74,190.0,122.0,64.21,3.0,80.0,85.0,80.85198275862075,42.11,44.74,190.0,117.0,61.58,0.0,87.0,85.0,81.02378378378383,45.79,44.74,190.0,118.0,62.11,1.0,86.0,85.0,81.10696428571433,45.26,44.74,190.0,117.0,61.58,5.0,87.0,85.0,81.54243243243249,45.79,44.74,190.0,115.0,60.53,1.0,87.0,85.0,81.9946788990826,45.79,44.74,190.0,114.0,60.0,4.0,93.0,85.0,81.93777777777781,48.95,44.74
y55265,130.0,105.0,188.0,187.0,99.47,21.0,12.0,200.0,191.78268817204315,6.38,106.38,182.0,181.0,99.45,6.0,7.0,200.0,193.89634285714286,3.85,109.89,182.0,180.0,98.9,3.0,9.0,200.0,194.2537430167598,4.95,109.89,182.0,181.0,99.45,11.0,15.0,200.0,194.33522222222226,8.24,109.89,182.0,177.0,97.25,4.0,17.0,200.0,195.45892655367234,9.34,109.89,182.0,174.0,95.6,1.0,41.0,200.0,197.0463583815027,22.53,109.89,182.0,157.0,86.26,8.0,50.0,200.0,197.99026143790834,27.47,109.89
y55270,77.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y55275,97.5,97.5,125.0,98.0,78.4,0.0,0.0,81.0,66.28438775510206,0.0,64.8,125.0,98.0,78.4,0.0,30.0,81.0,68.306875,24.0,64.8,125.0,98.0,78.4,0.0,27.0,81.0,68.07115789473684,21.6,64.8,125.0,100.0,80.0,3.0,28.0,81.0,68.67102040816327,22.4,64.8,125.0,98.0,78.4,3.0,31.0,81.0,69.32704081632653,24.8,64.8,125.0,96.0,76.8,0.0,33.0,81.0,70.5232291666667,26.4,64.8,125.0,97.0,77.6,5.0,32.0,81.0,70.72270833333337,25.6,64.8
