Property Code,Total Units (2022Jul) (Indoor Parking),Occupied (2022Jul) (Indoor Parking),Percentage (2022Jul) (Indoor Parking),New Lease (2022Jul) (Indoor Parking),Ending Lease (2022Jul) (Indoor Parking),Price (2022Jul) (Indoor Parking),Property Code,Total Units (2022Aug) (Indoor Parking),Occupied (2022Aug) (Indoor Parking),Percentage (2022Aug) (Indoor Parking),New Lease (2022Aug) (Indoor Parking),Ending Lease (2022Aug) (Indoor Parking),Price (2022Aug) (Indoor Parking),Property Code,Total Units (2022Sep) (Indoor Parking),Occupied (2022Sep) (Indoor Parking),Percentage (2022Sep) (Indoor Parking),New Lease (2022Sep) (Indoor Parking),Ending Lease (2022Sep) (Indoor Parking),Price (2022Sep) (Indoor Parking),Property Code,Total Units (2022Oct) (Indoor Parking),Occupied (2022Oct) (Indoor Parking),Percentage (2022Oct) (Indoor Parking),New Lease (2022Oct) (Indoor Parking),Ending Lease (2022Oct) (Indoor Parking),Price (2022Oct) (Indoor Parking),Property Code,Total Units (2022Dec) (Indoor Parking),Occupied (2022Dec) (Indoor Parking),Percentage (2022Dec) (Indoor Parking),New Lease (2022Dec) (Indoor Parking),Ending Lease (2022Dec) (Indoor Parking),Price (2022Dec) (Indoor Parking),Property Code,Total Units (2023Apr) (Indoor Parking),Occupied (2023Apr) (Indoor Parking),Percentage (2023Apr) (Indoor Parking),New Lease (2023Apr) (Indoor Parking),Ending Lease (2023Apr) (Indoor Parking),Price (2023Apr) (Indoor Parking),Property Code,Total Units (2023May) (Indoor Parking),Occupied (2023May) (Indoor Parking),Percentage (2023May) (Indoor Parking),New Lease (2023May) (Indoor Parking),Ending Lease (2023May) (Indoor Parking),Price (2023May) (Indoor Parking)
y53600,0.0,0.0,0.0,0.0,0.0,0.0,y53600,0.0,0.0,0.0,0.0,0.0,0.0,y53600,0.0,0.0,0.0,0.0,0.0,0.0,y53600,0.0,0.0,0.0,0.0,0.0,0.0,y53600,0.0,0.0,0.0,0.0,0.0,0.0,y53600,0.0,0.0,0.0,0.0,0.0,0.0,y53600,0.0,0.0,0.0,0.0,0.0,0.0
y53620,93.0,82.0,88.17,8.0,18.0,120.0,y53620,93.0,81.0,87.1,0.0,65.0,120.0,y53620,93.0,80.0,86.02,0.0,66.0,120.0,y53620,93.0,81.0,87.1,3.0,66.0,120.0,y53620,93.0,82.0,88.17,0.0,62.0,120.0,y53620,93.0,82.0,88.17,0.0,63.0,120.0,y53620,93.0,79.0,84.95,1.0,62.0,120.0
y53630,462.0,271.0,58.66,25.0,54.0,100.0,y53630,462.0,268.0,58.01,4.0,209.0,100.0,y53630,462.0,258.0,55.84,2.0,212.0,100.0,y53630,462.0,264.0,57.14,24.0,208.0,100.0,y53630,462.0,262.0,56.71,20.0,208.0,100.0,y53630,462.0,266.0,57.58,1.0,201.0,100.0,y53630,462.0,267.0,57.79,21.0,205.0,100.0
y53640,235.0,127.0,54.04,10.0,5.0,135.0,y53640,235.0,136.0,57.87,1.0,109.0,135.0,y53640,235.0,136.0,57.87,1.0,109.0,135.0,y53640,235.0,136.0,57.87,3.0,109.0,135.0,y53640,235.0,140.0,59.57,1.0,109.0,135.0,y53640,235.0,141.0,60.0,2.0,113.0,135.0,y53640,240.0,142.0,59.17,7.0,113.0,135.0
y53650,287.0,221.0,77.0,21.0,46.0,110.0,y53650,287.0,225.0,78.4,6.0,75.0,115.0,y53650,287.0,222.0,77.35,0.0,80.0,115.0,y53650,287.0,224.0,78.05,31.0,78.0,115.0,y53650,287.0,223.0,77.7,18.0,75.0,115.0,y53650,287.0,223.0,77.7,0.0,80.0,115.0,y53650,287.0,221.0,77.0,19.0,77.0,115.0
y53660,190.0,119.0,62.63,2.0,0.0,85.0,y53660,190.0,122.0,64.21,3.0,80.0,85.0,y53660,190.0,117.0,61.58,0.0,87.0,85.0,y53660,190.0,118.0,62.11,1.0,86.0,85.0,y53660,190.0,117.0,61.58,5.0,87.0,85.0,y53660,190.0,115.0,60.53,1.0,87.0,85.0,y53660,190.0,114.0,60.0,4.0,93.0,85.0
y55265,188.0,187.0,99.47,21.0,12.0,200.0,y55265,182.0,181.0,99.45,6.0,7.0,200.0,y55265,182.0,180.0,98.9,3.0,9.0,200.0,y55265,182.0,181.0,99.45,11.0,15.0,200.0,y55265,182.0,177.0,97.25,4.0,17.0,200.0,y55265,182.0,174.0,95.6,1.0,41.0,200.0,y55265,182.0,157.0,86.26,8.0,50.0,200.0
y55270,0.0,0.0,0.0,0.0,0.0,0.0,y55270,0.0,0.0,0.0,0.0,0.0,0.0,y55270,0.0,0.0,0.0,0.0,0.0,0.0,y55270,0.0,0.0,0.0,0.0,0.0,0.0,y55270,0.0,0.0,0.0,0.0,0.0,0.0,y55270,0.0,0.0,0.0,0.0,0.0,0.0,y55270,0.0,0.0,0.0,0.0,0.0,0.0
y55275,125.0,98.0,78.4,0.0,0.0,81.0,y55275,125.0,98.0,78.4,0.0,30.0,81.0,y55275,125.0,98.0,78.4,0.0,27.0,81.0,y55275,125.0,100.0,80.0,3.0,28.0,81.0,y55275,125.0,98.0,78.4,3.0,31.0,81.0,y55275,125.0,96.0,76.8,0.0,33.0,81.0,y55275,125.0,97.0,77.6,5.0,32.0,81.0
y63060,224.0,146.0,65.18,5.0,20.0,60.0,y63060,224.0,143.0,63.84,1.0,98.0,60.0,y63060,224.0,144.0,64.29,0.0,96.0,60.0,y63060,224.0,146.0,65.18,1.0,170.0,60.0,y63060,227.0,147.0,64.76,6.0,114.0,60.0,y63060,232.0,150.0,64.66,3.0,105.0,60.0,y63060,233.0,149.0,63.95,9.0,95.0,60.0
y63070,152.0,66.0,43.42,2.0,3.0,135.0,y63070,152.0,66.0,43.42,0.0,87.0,135.0,y63070,152.0,65.0,42.76,3.0,89.0,135.0,y63070,152.0,66.0,43.42,2.0,124.0,135.0,y63070,152.0,68.0,44.74,4.0,91.0,135.0,y63070,155.0,67.0,43.23,4.0,102.0,135.0,y63070,155.0,63.0,40.65,3.0,97.0,135.0
y63075,213.0,130.0,61.03,4.0,7.0,135.0,y63075,213.0,133.0,62.44,2.0,90.0,135.0,y63075,213.0,127.0,59.62,2.0,94.0,135.0,y63075,213.0,130.0,61.03,2.0,164.0,135.0,y63075,213.0,123.0,57.75,4.0,113.0,135.0,y63075,213.0,126.0,59.15,0.0,103.0,135.0,y63075,213.0,116.0,54.46,2.0,108.0,135.0
y63130,79.0,67.0,84.81,3.0,3.0,100.0,y63130,79.0,62.0,78.48,0.0,20.0,100.0,y63130,79.0,61.0,77.22,2.0,19.0,100.0,y63130,79.0,63.0,79.75,2.0,47.0,100.0,y63130,79.0,62.0,78.48,1.0,28.0,100.0,y63130,79.0,62.0,78.48,2.0,23.0,100.0,y63130,79.0,66.0,83.54,6.0,19.0,100.0
y63135,46.0,43.0,93.48,1.0,2.0,100.0,y63135,46.0,43.0,93.48,1.0,5.0,100.0,y63135,46.0,43.0,93.48,0.0,7.0,100.0,y63135,46.0,44.0,95.65,0.0,30.0,100.0,y63135,46.0,44.0,95.65,1.0,5.0,100.0,y63135,46.0,43.0,93.48,3.0,9.0,100.0,y63135,46.0,42.0,91.3,1.0,8.0,100.0
y64170,239.0,166.0,69.46,27.0,31.0,100.0,y64170,239.0,157.0,65.69,7.0,111.0,100.0,y64170,239.0,156.0,65.27,6.0,109.0,100.0,y64170,239.0,159.0,66.53,14.0,109.0,100.0,y64170,239.0,162.0,67.78,14.0,94.0,100.0,y64170,239.0,171.0,71.55,3.0,131.0,100.0,y64170,239.0,167.0,69.87,12.0,115.0,100.0
y64180,0.0,0.0,0.0,0.0,0.0,0.0,y64180,0.0,0.0,0.0,0.0,0.0,0.0,y64180,0.0,0.0,0.0,0.0,0.0,0.0,y64180,0.0,0.0,0.0,0.0,0.0,0.0,y64180,0.0,0.0,0.0,0.0,0.0,0.0,y64180,0.0,0.0,0.0,0.0,0.0,0.0,y64180,0.0,0.0,0.0,0.0,0.0,0.0
y65160,150.0,123.0,82.0,4.0,3.0,100.0,y65160,150.0,123.0,82.0,0.0,33.0,100.0,y65160,150.0,123.0,82.0,0.0,32.0,100.0,y65160,150.0,122.0,81.33,3.0,37.0,100.0,y65160,150.0,119.0,79.33,1.0,39.0,100.0,y65160,150.0,117.0,78.0,0.0,38.0,100.0,y65160,150.0,113.0,75.33,5.0,43.0,100.0
y65165,163.0,118.0,72.39,13.0,18.0,180.0,y65165,163.0,115.0,70.55,0.0,56.0,180.0,y65165,163.0,115.0,70.55,0.0,54.0,180.0,y65165,163.0,117.0,71.78,10.0,55.0,180.0,y65165,163.0,112.0,68.71,8.0,60.0,180.0,y65165,163.0,105.0,64.42,1.0,66.0,180.0,y65165,163.0,102.0,62.58,12.0,76.0,180.0
y65225,395.0,269.0,68.1,8.0,6.0,130.0,y65225,398.0,268.0,67.34,1.0,296.0,130.0,y65225,398.0,264.0,66.33,0.0,296.0,130.0,y65225,398.0,263.0,66.08,3.0,322.0,130.0,y65225,398.0,260.0,65.33,0.0,297.0,130.0,y65225,398.0,254.0,63.82,0.0,295.0,130.0,y65225,398.0,255.0,64.07,6.0,293.0,130.0
